model,group,horizon,n_samples,n_forecasts,rmse,qlike,mz_alpha,mz_beta,mz_r2,fold
esn_shuffled_tuned,L1,path,30,300,0.7884597045176438,3.5346244466607764,0.9712010163359448,1.0830670470641932,0.16633050781240288,8
esn_shuffled_tuned,L5,path,30,300,0.6786520097514904,2.4407002395126742,0.8065404380932587,1.107027072144862,0.16049030812944254,8
esn_shuffled_tuned,L10,path,30,300,0.4966501361272845,0.7519369658657691,0.06279864768769694,1.023689547906435,0.21339491036743474,8
esn_shuffled_tuned,Controls,path,270,2700,0.5095146102517806,0.6026916889281,0.44625198516886466,1.123756325331547,0.24028634737537236,8
esn_shuffled_tuned,Pooled,path,360,3600,0.5526711542019701,1.01262390436601,0.7063954322572493,1.1549889439016263,0.2053691682725569,8
garch_1_1_t,Transition,path,90,900,0.6425956490171925,0.9881661860621354,-1.6080006816098105,0.6742849021062993,0.1325931723837518,8
garch_1_1_t,L1,path,30,300,0.5605293454808528,1.181941343781377,-0.5309932085189865,0.8457346878410821,0.22068462632579167,8
garch_1_1_t,L5,path,30,300,0.6474048593286863,1.0963188559683446,-1.5717196413489432,0.6766716641351785,0.1353181556309857,8
garch_1_1_t,L10,path,30,300,0.7109580194216047,0.6862383584366847,-2.118559886097874,0.6336156264677348,0.1742394287200527,8
garch_1_1_t,Controls,path,270,2700,0.7499777128448182,0.7059981622109618,-1.797220673037221,0.7288254904699403,0.2397810083245201,8
garch_1_1_t,Pooled,path,360,3600,0.724625571834803,0.7765401681737552,-1.6274289405884457,0.7423396011482679,0.1970810850868997,8
har,Transition,path,90,900,0.6630522094516088,2.190711764288863,0.06385381428063724,0.9576316047731998,0.1627765763247494,8
har,L1,path,30,300,0.778578455447197,3.302248975933004,0.9667419875454669,1.0814494676353525,0.21903247552620064,8
har,L5,path,30,300,0.6832216501820422,2.4898307065255616,0.15194097320132138,0.9691605308506807,0.17359446452693494,8
har,L10,path,30,300,0.49592183135244716,0.7800556104080236,-0.4553589598103941,0.9181162325777664,0.21778234274883435,8
har,Controls,path,270,2700,0.5052492137193167,0.5798764985084663,-0.1550752698879778,1.003761220747474,0.26102338762192157,8
har,Pooled,path,360,3600,0.5489691558618351,0.9825853149535657,0.008849332874696029,1.0144291854940481,0.21388405779819242,8
persistence,Transition,path,90,900,0.781148472828447,3.3464163391752706,-2.8208462908563656,0.3650522318055791,0.06424915647896923,8
persistence,L1,path,30,300,0.884466911936979,4.816839125328328,-1.5385240800860824,0.5608326345253277,0.13958801967411338,8
persistence,L5,path,30,300,0.8335086408395704,3.97845332336058,-3.190623225821649,0.28952102944061336,0.06254394884610504,8
persistence,L10,path,30,300,0.5946094828886277,1.2439565688369048,-3.254588186143377,0.3392155380987642,0.04763895419522701,8
persistence,Controls,path,270,2700,0.5825483361919228,0.8715210837312228,-2.843997032812784,0.45422087323364907,0.13786791339960636,8
persistence,Pooled,path,360,3600,0.6380204990049589,1.4902448975922347,-2.845583525388121,0.4304404308398764,0.1005247313529225,8
sequence_ridge,Transition,path,90,900,0.6626538243305443,2.1867985949046127,0.11684045416197238,0.968840913313441,0.16119311329049146,8
sequence_ridge,L1,path,30,300,0.7845900409893053,3.3918713681338475,1.0005902468166623,1.087256445850269,0.20860921130587762,8
sequence_ridge,L5,path,30,300,0.6767822077193416,2.40897064542749,0.3286315739950261,1.007795396436837,0.17518129286039796,8
sequence_ridge,L10,path,30,300,0.49367457256235275,0.7595537711524998,-0.44711563313315544,0.9193994763958068,0.22421364818465728,8
sequence_ridge,Controls,path,270,2700,0.4970297059565514,0.5949928302507199,0.13548636702264774,1.058750450369596,0.26913738826139133,8
sequence_ridge,Pooled,path,360,3600,0.5431909601396325,0.9929442714141932,0.3465772661214451,1.0800902339584038,0.22789225760501697,8
