model,group,horizon,n_samples,n_forecasts,rmse,qlike,mz_alpha,mz_beta,mz_r2,stage
esn_direct_tuned,L5,8,71,71,0.8515862019358058,4.291013370956311,0.7485903492771034,1.0365015376531428,0.1316969538272188,confirmation
esn_direct_tuned,L5,9,71,71,0.8036765497300141,3.332443398532762,-1.9981893195657037,0.4747682365157083,0.038787018893972736,confirmation
esn_direct_tuned,L5,10,71,71,0.7670397596274309,3.2421320409858567,0.040488772094050496,0.9005243328190589,0.122667221704169,confirmation
esn_direct_tuned,L10,1,71,71,0.3367327683270975,0.19992172622586343,-0.972527287747295,0.8263739172183255,0.29606763657077195,confirmation
esn_direct_tuned,L10,2,71,71,0.4875805283312779,0.6462427762296522,0.5816838888925125,1.1523230699086202,0.2751241855127784,confirmation
esn_direct_tuned,L10,3,71,71,0.4112799036498124,0.4757231598500098,-0.25067643415902663,0.9511783370670165,0.2574967858521725,confirmation
esn_direct_tuned,L10,4,71,71,0.38489353085190836,0.2552977385931776,0.2080114490545837,1.0698425642486669,0.33735058360900405,confirmation
esn_direct_tuned,L10,5,71,71,0.43796715145627263,0.35988158857969943,1.8493518453357687,1.3958516706225526,0.36201597695103493,confirmation
esn_direct_tuned,L10,6,71,71,0.45598564850758116,0.34594653192632385,-1.5421555520045283,0.7036239673213842,0.1259427499574205,confirmation
esn_direct_tuned,L10,7,71,71,0.389342789105879,0.27656266868534035,-0.393046690603711,0.9389339936315649,0.2406574249894824,confirmation
esn_direct_tuned,L10,8,71,71,0.43249258070218266,0.2745096580123924,0.06515993993576212,1.0447254490533235,0.26475169138038224,confirmation
esn_direct_tuned,L10,9,71,71,0.35031523261785474,0.1854594233601661,-1.250838264433927,0.7679676788335138,0.2287004939843349,confirmation
esn_direct_tuned,L10,10,71,71,0.7022170920658756,2.6316154398234466,-0.7831228400057403,0.7161394469175496,0.1546741620745372,confirmation
esn_direct_tuned,Controls,1,639,639,0.45210539843925684,0.4093485227274549,0.840114838831523,1.189547359070367,0.300674940281908,confirmation
esn_direct_tuned,Controls,2,639,639,0.4592568055488837,0.5243719780070244,0.3399049934454352,1.0853850810004873,0.24842487710947447,confirmation
esn_direct_tuned,Controls,3,639,639,0.45858047623287745,0.5740128329458319,0.5780215206528613,1.1288763217137479,0.2714248694019774,confirmation
esn_direct_tuned,Controls,4,639,639,0.45800864185489565,0.42942244370762545,1.188284962442535,1.2606799464725946,0.30450979275480405,confirmation
esn_direct_tuned,Controls,5,639,639,0.48010561205624963,0.46559990042809785,1.4087041534095766,1.320687889949149,0.29727076086576454,confirmation
esn_direct_tuned,Controls,6,639,639,0.4787237746725685,0.48109390185939716,0.4022918018996818,1.1073206747340287,0.23771984413441127,confirmation
esn_direct_tuned,Controls,7,639,639,0.5088343650914572,0.6068655850930207,0.4147062386390635,1.11376980035558,0.20486053426011408,confirmation
esn_direct_tuned,Controls,8,639,639,0.521563495709308,0.5360275963550502,0.3871042638388599,1.1177328219174874,0.2191797541240318,confirmation
esn_direct_tuned,Controls,9,639,639,0.5182616520594817,0.5408193386399288,0.24655548775950167,1.0856729241517726,0.20090148978476285,confirmation
esn_direct_tuned,Controls,10,639,639,0.5280267635184054,0.4583415869006945,1.0901749196758221,1.2744894687455752,0.2789622815360656,confirmation
esn_direct_tuned,Pooled,1,852,852,0.4830796562512114,0.6578518352294996,0.440764236831878,1.0946870857445083,0.23343142193244704,confirmation
esn_direct_tuned,Pooled,2,852,852,0.4837103279905228,0.7328107555820788,0.27614155753859077,1.0632714004083514,0.21870184238136658,confirmation
esn_direct_tuned,Pooled,3,852,852,0.4820426025280777,0.8163716514982412,0.503710091579509,1.1033593896771212,0.24149451680007705,confirmation
esn_direct_tuned,Pooled,4,852,852,0.4932546452165334,0.7565533255919528,1.0114770077183912,1.2124328437294056,0.25027552553595245,confirmation
esn_direct_tuned,Pooled,5,852,852,0.5361967694437441,0.8970224326062051,1.2149196034001166,1.253856205565034,0.21387573831280138,confirmation
esn_direct_tuned,Pooled,6,852,852,0.5361845190964623,0.9542267288830742,0.2187182907197074,1.0475587906199746,0.17255391662809216,confirmation
