index,lead,feature,smd,n_positive,n_negative,abs_smd,stable_stratum
^FTSE_data,1,std20,0.25028821817179336,18,54,0.25028821817179336,True
^FTSE_data,1,max20,0.0756422987551033,18,54,0.0756422987551033,True
^FTSE_data,5,level,0.05229443791068262,18,54,0.05229443791068262,True
^FTSE_data,5,mean5,0.12849084472923,18,54,0.12849084472923,True
^FTSE_data,5,mean20,0.00450838377661335,18,54,0.00450838377661335,True
^FTSE_data,5,slope5,0.08698695465805732,18,54,0.08698695465805732,True
^FTSE_data,5,slope20,0.02870793580352525,18,54,0.02870793580352525,True
^FTSE_data,5,std20,0.12051890048130501,18,54,0.12051890048130501,True
^FTSE_data,5,max20,0.08274099650098136,18,54,0.08274099650098136,True
^FTSE_data,10,level,-0.029626738559951807,18,54,0.029626738559951807,True
^FTSE_data,10,mean5,-0.019918846300575496,18,54,0.019918846300575496,True
^FTSE_data,10,mean20,-0.011627985581697156,18,54,0.011627985581697156,True
^FTSE_data,10,slope5,-0.002516916663968209,18,54,0.002516916663968209,True
^FTSE_data,10,slope20,0.008720656005049825,18,54,0.008720656005049825,True
^FTSE_data,10,std20,0.09528591938312843,18,54,0.09528591938312843,True
^FTSE_data,10,max20,-0.021518094201782478,18,54,0.021518094201782478,True
^GDAXI_data,1,level,0.09792133970438535,10,30,0.09792133970438535,True
^GDAXI_data,1,mean5,0.08647097008749716,10,30,0.08647097008749716,True
^GDAXI_data,1,mean20,0.04719841234892645,10,30,0.04719841234892645,True
^GDAXI_data,1,slope5,-0.01760194340116475,10,30,0.01760194340116475,True
^GDAXI_data,1,slope20,-0.0016438553344593828,10,30,0.0016438553344593828,True
^GDAXI_data,1,std20,0.014494670437698223,10,30,0.014494670437698223,True
^GDAXI_data,1,max20,0.13887575019010792,10,30,0.13887575019010792,True
^GDAXI_data,5,level,0.10429316150330857,10,30,0.10429316150330857,True
^GDAXI_data,5,mean5,0.02787873919611068,10,30,0.02787873919611068,True
^GDAXI_data,5,mean20,0.022485675450175387,10,30,0.022485675450175387,True
^GDAXI_data,5,slope5,0.06132810753150794,10,30,0.06132810753150794,True
^GDAXI_data,5,slope20,9.513945040742883e-05,10,30,9.513945040742883e-05,True
^GDAXI_data,5,std20,-0.09065912468873899,10,30,0.09065912468873899,True
^GDAXI_data,5,max20,0.01852733527289709,10,30,0.01852733527289709,True
^GDAXI_data,10,level,-0.07184512072022982,10,30,0.07184512072022982,True
^GDAXI_data,10,mean5,-0.004988892507605993,10,30,0.004988892507605993,True
^GDAXI_data,10,mean20,0.007437766885740992,10,30,0.007437766885740992,True
^GDAXI_data,10,slope5,0.029431916901762212,10,30,0.029431916901762212,True
^GDAXI_data,10,slope20,0.20701558349495003,10,30,0.20701558349495003,True
^GDAXI_data,10,std20,-0.02809624607757362,10,30,0.02809624607757362,True
^GDAXI_data,10,max20,0.06694393941752227,10,30,0.06694393941752227,True
^GSPC_data,1,level,-0.012475557920045132,31,93,0.012475557920045132,True
^GSPC_data,1,mean5,0.012926168899420753,31,93,0.012926168899420753,True
^GSPC_data,1,mean20,-0.010565524824532506,31,93,0.010565524824532506,True
^GSPC_data,1,slope5,0.045322296331534284,31,93,0.045322296331534284,True
^GSPC_data,1,slope20,0.03909681030010562,31,93,0.03909681030010562,True
^GSPC_data,1,std20,0.021934946301607475,31,93,0.021934946301607475,True
^GSPC_data,1,max20,-0.008151770581225844,31,93,0.008151770581225844,True
^GSPC_data,5,level,0.0005953786598707048,31,93,0.0005953786598707048,True
^GSPC_data,5,mean5,-0.0025141170051298863,31,93,0.0025141170051298863,True
^GSPC_data,5,mean20,0.07352163994877255,31,93,0.07352163994877255,True
^GSPC_data,5,slope5,0.01503597615721341,31,93,0.01503597615721341,True
^GSPC_data,5,slope20,-0.005201749321816961,31,93,0.005201749321816961,True
^GSPC_data,5,std20,-0.0117397268317263,31,93,0.0117397268317263,True
^GSPC_data,5,max20,-0.002742713592590174,31,93,0.002742713592590174,True
^GSPC_data,10,level,0.016350640868794137,31,93,0.016350640868794137,True
^GSPC_data,10,mean5,0.011411530508351704,31,93,0.011411530508351704,True
^GSPC_data,10,mean20,-0.05559829195047001,31,93,0.05559829195047001,True
^GSPC_data,10,slope5,0.053031714584895334,31,93,0.053031714584895334,True
^GSPC_data,10,slope20,0.03488703919078463,31,93,0.03488703919078463,True
^GSPC_data,10,std20,0.0019019157930162522,31,93,0.0019019157930162522,True
^GSPC_data,10,max20,-0.011279549509224173,31,93,0.011279549509224173,True
^GSPTSE_data,1,level,-0.04089153567545906,23,69,0.04089153567545906,True
^GSPTSE_data,1,mean5,0.07314799628515778,23,69,0.07314799628515778,True
^GSPTSE_data,1,mean20,0.08336194883578994,23,69,0.08336194883578994,True
^GSPTSE_data,1,slope5,-0.017508543214212906,23,69,0.017508543214212906,True
^GSPTSE_data,1,slope20,-0.008672997501107196,23,69,0.008672997501107196,True
^GSPTSE_data,1,std20,0.026677152256805243,23,69,0.026677152256805243,True
^GSPTSE_data,1,max20,0.045773624945954695,23,69,0.045773624945954695,True
^GSPTSE_data,5,level,-0.003294963479452788,23,69,0.003294963479452788,True
^GSPTSE_data,5,mean5,0.03481405510987593,23,69,0.03481405510987593,True
^GSPTSE_data,5,mean20,0.15265197149765963,23,69,0.15265197149765963,True
^GSPTSE_data,5,slope5,0.08433057745372913,23,69,0.08433057745372913,True
^GSPTSE_data,5,slope20,-0.02466399834270521,23,69,0.02466399834270521,True
^GSPTSE_data,5,std20,0.022029022963348424,23,69,0.022029022963348424,True
^GSPTSE_data,5,max20,0.06291583802622186,23,69,0.06291583802622186,True
^GSPTSE_data,10,level,0.055553239652863705,23,69,0.055553239652863705,True
^GSPTSE_data,10,mean5,0.11204233930455376,23,69,0.11204233930455376,True
^GSPTSE_data,10,mean20,0.1504799773892569,23,69,0.1504799773892569,True
^GSPTSE_data,10,slope5,-0.05537027989222702,23,69,0.05537027989222702,True
^GSPTSE_data,10,slope20,-0.005150358236001465,23,69,0.005150358236001465,True
^GSPTSE_data,10,std20,-0.07498297619114672,23,69,0.07498297619114672,True
^GSPTSE_data,10,max20,0.006354518333727694,23,69,0.006354518333727694,True
^HSI_data,1,level,-0.0014869716148305542,12,36,0.0014869716148305542,True
^HSI_data,1,mean5,0.1769506272694565,12,36,0.1769506272694565,True
^HSI_data,1,mean20,0.0964837979239806,12,36,0.0964837979239806,True
^HSI_data,1,slope5,0.009818630619899264,12,36,0.009818630619899264,True
^HSI_data,1,slope20,-0.0518914977901717,12,36,0.0518914977901717,True
^HSI_data,1,std20,-0.03868786610059832,12,36,0.03868786610059832,True
