index,market_group,onset_date,effective_start,threshold,train_days,history_start,history_end,pre_onset_level,onset_level,jump_logvol,peak60,peak_gain60,persist60,recovery_days,episode_id,representative_rank
^N225_data,japan,2016-01-04,1989-01-01,-4.395430311287022,6639,1989-01-04,2024-06-24,-5.802097983917988,-4.022630924368248,1.7794670595497397,-3.3562093141460885,2.4458886697718993,26,1.0,GE162,0
^FTSE_data,united_kingdom,2016-01-04,1984-01-01,-4.5931790232554315,8079,1984-01-03,2024-06-24,-5.43782394820632,-4.091698998818089,1.3461249493882317,-3.7005181810554655,1.737305767150855,34,1.0,GE162,0
^RUT_data,united_states,2016-01-04,1987-01-01,-4.493549183362031,7137,1987-09-10,2024-06-24,-4.929042404494563,-4.015455702859032,0.9135867016355315,-3.484857278524313,1.4441851259702503,31,1.0,GE162,4
^BFX_data,belgium,2016-01-05,1993-01-01,-4.582960452859673,5832,1993-01-04,2024-06-24,-4.807247822408335,-4.521220346171716,0.28602747623661884,-3.5894988089079938,1.2177490135003408,28,4.0,GE163,0
^NYA_data,united_states,2016-01-07,2003-01-01,-4.593240096435604,3268,2003-01-09,2024-06-24,-5.057643031391452,-4.590148221967591,0.4674948094238607,-3.9351953157507245,1.1224477156407273,16,10.0,GE163,1
^NZ50_data,new_zealand,2018-10-11,2004-01-01,-5.095025226371794,2919,2004-01-05,2024-06-24,-5.517583115676445,-3.8040686438357034,1.713514471840742,-3.8040686438357034,1.713514471840742,20,3.0,GE164,0
^DJI_data,united_states,2018-10-10,1992-01-01,-4.561235385362544,6047,1992-01-02,2024-06-24,-5.317961615588711,-3.851484995460785,1.466476620127926,-3.4601434788553043,1.8578181367334068,32,3.0,GE164,2
^GSPTSE_data,canada,2018-12-03,1979-01-01,-4.90810151296278,9153,1979-06-29,2024-06-24,-5.649447497631005,-4.730769200340614,0.9186782972903913,-4.369795011450787,1.2796524861802183,13,2.0,GE165,0
^GSPC_data,united_states,2018-12-04,1962-01-01,-4.466075467613806,13556,1962-01-02,2024-06-24,-5.15412135689509,-3.9402604840952273,1.213860872799863,-3.4986100770192605,1.6555112798758298,15,5.0,GE165,0
^MERV_data,argentina,2019-04-22,1996-01-01,-3.9763398936998335,4716,1996-10-08,2024-06-24,-4.7359473441313895,-3.5713286538687523,1.1646186902626372,-3.2239876858972516,1.511959658234138,22,1.0,GE166,0
