run_tag,scalar,lookback,delta_min,delta_max,split,task,raw_rmse,raw_plus_rydberg_rmse,delta_rmse,raw_corr,raw_plus_rydberg_corr,delta_corr,raw_precision,raw_plus_rydberg_precision,delta_precision,raw_recall,raw_plus_rydberg_recall,delta_recall,raw_f1,raw_plus_rydberg_f1,delta_f1,raw_average_precision,raw_plus_rydberg_average_precision,delta_average_precision,raw_roc_auc,raw_plus_rydberg_roc_auc,delta_roc_auc,rydberg_only_rmse,rydberg_only_corr,rydberg_only_f1,rydberg_only_average_precision,rydberg_only_roc_auc
scalar-rv_accel_log_5_20__lb-40__delta-0p25-1p0,rv_accel_log_5_20,40,0.25,1.0,test,q90_warning,,,,,,,0.4470588235294118,0.3984375,-0.048621323529411786,0.5891472868217055,0.3953488372093023,-0.19379844961240317,0.5083612040133779,0.3968871595330739,-0.11147404448030401,0.5231434911171594,0.4524725957752555,-0.0706708953419039,0.8361051018568595,0.763821284778559,-0.07228381707830045,,,0.334448160535117,0.3953677633196105,0.6318505498467639
scalar-rv_accel_log_5_20__lb-40__delta-0p25-1p0,rv_accel_log_5_20,40,0.25,1.0,test,q95_crisis,,,,,,,0.4393939393939394,0.4736842105263157,0.034290271132376315,0.5686274509803921,0.1764705882352941,-0.39215686274509803,0.4957264957264957,0.2571428571428571,-0.23858363858363857,0.5689691582542981,0.218110778289833,-0.35085837996446506,0.7476594241300124,0.5842430665960078,-0.16341635753400463,,,0.4329896907216495,0.4103320828344172,0.6270800211976684
scalar-rv_accel_log_5_20__lb-40__delta-0p25-1p0,rv_accel_log_5_20,40,0.25,1.0,test,regression,0.0971136059929947,0.0973303379089648,0.00021673191597008923,0.6099763037817262,0.6063516381626487,-0.003624665619077483,,,,,,,,,,,,,,,,0.1136959805481311,0.3790557413095163,,,
scalar-rv_accel_log_5_20__lb-40__delta-0p25-1p0,rv_accel_log_5_20,40,0.25,1.0,train,q90_warning,,,,,,,0.6014760147601476,0.6697416974169742,0.06826568265682664,0.6014760147601476,0.6697416974169742,0.06826568265682664,0.6014760147601476,0.6697416974169742,0.06826568265682664,0.6646184209421189,0.7544338105816434,0.08981538963952451,0.913006225280804,0.9564802060907948,0.043473980809990764,,,0.4298892988929889,0.4148447948381054,0.8632202595368864
scalar-rv_accel_log_5_20__lb-40__delta-0p25-1p0,rv_accel_log_5_20,40,0.25,1.0,train,q95_crisis,,,,,,,0.5830258302583026,0.6346863468634686,0.05166051660516602,0.5830258302583026,0.6346863468634686,0.05166051660516602,0.5830258302583026,0.6346863468634686,0.05166051660516602,0.6153924250584868,0.7252207612881446,0.10982833622965782,0.9181656843784612,0.9796165632729424,0.0614508788944812,,,0.4206642066420664,0.4045491189890115,0.932448795716573
scalar-rv_accel_log_5_20__lb-40__delta-0p25-1p0,rv_accel_log_5_20,40,0.25,1.0,train,regression,0.0610388011594886,0.0590968701685893,-0.0019419309908993015,0.7896128804712804,0.8046740301352239,0.015061149663943452,,,,,,,,,,,,,,,,0.0868246482285161,0.4910209183560374,,,
scalar-rv_accel_log_5_20__lb-40__delta-0p25-1p0,rv_accel_log_5_20,40,0.25,1.0,val,q90_warning,,,,,,,0.0526315789473684,0.0,-0.0526315789473684,0.03125,0.0,-0.03125,0.0392156862745098,0.0,-0.0392156862745098,0.082763426443076,0.0388918000119332,-0.04387162643114279,0.7426307624113475,0.5470412234042553,-0.1955895390070922,,,0.0341880341880341,0.0256060248167605,0.455396719858156
scalar-rv_accel_log_5_20__lb-40__delta-0p25-1p0,rv_accel_log_5_20,40,0.25,1.0,val,q95_crisis,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,
scalar-rv_accel_log_5_20__lb-40__delta-0p25-1p0,rv_accel_log_5_20,40,0.25,1.0,val,regression,0.0539043510854328,0.0554660150481998,0.001561663962766996,0.5297153361382319,0.4744848459853731,-0.05523049015285875,,,,,,,,,,,,,,,,0.0672354199689438,0.1946237003774356,,,
scalar-rv_accel_log_5_20__lb-40__delta-0p4-1p1,rv_accel_log_5_20,40,0.4,1.1,test,q90_warning,,,,,,,0.4470588235294118,0.2841530054644808,-0.16290581806493099,0.5891472868217055,0.4031007751937984,-0.18604651162790709,0.5083612040133779,0.3333333333333333,-0.1750278706800446,0.5231434911171594,0.3938315583776327,-0.12931193273952674,0.8361051018568595,0.7593293672255272,-0.07677573463133225,,,0.2992125984251969,0.3685595423741373,0.5731176011057029
